,unique_id,travel_mode,start_latitude,start_longitude,end_latitude,end_longitude,distance_in_miles,duration_in_mins,walk_class
0,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,,
8,,,,,,,,,
9,,,,,,,,,
10,,,,,,,,,
11,,,,,,,,,
12,,,,,,,,,
13,,,,,,,,,
14,,,,,,,,,
15,,,,,,,,,
16,,,,,,,,,
17,,,,,,,,,
18,,,,,,,,,
19,,,,,,,,,
20,,,,,,,,,
21,,,,,,,,,
22,,,,,,,,,
23,,,,,,,,,
24,,,,,,,,,
25,,,,,,,,,
26,,,,,,,,,
27,,,,,,,,,
28,,,,,,,,,
29,,,,,,,,,
30,,,,,,,,,
31,,,,,,,,,
32,,,,,,,,,
33,,,,,,,,,
34,,,,,,,,,
35,,,,,,,,,
36,,,,,,,,,
37,,,,,,,,,
38,,,,,,,,,
39,,,,,,,,,
40,,,,,,,,,
41,,,,,,,,,
42,,,,,,,,,
43,,,,,,,,,
44,,,,,,,,,
45,,,,,,,,,
46,,,,,,,,,
47,,,,,,,,,
48,,,,,,,,,
49,,,,,,,,,
50,,,,,,,,,
51,,,,,,,,,
52,,,,,,,,,
53,,,,,,,,,
54,,,,,,,,,
55,,,,,,,,,
56,,,,,,,,,
57,,,,,,,,,
58,,,,,,,,,
59,,,,,,,,,
60,,,,,,,,,
61,,,,,,,,,
62,,,,,,,,,
63,,,,,,,,,
64,,,,,,,,,
65,,,,,,,,,
66,,,,,,,,,
67,,,,,,,,,
68,,,,,,,,,
69,,,,,,,,,
70,,,,,,,,,
71,,,,,,,,,
72,,,,,,,,,
73,,,,,,,,,
74,,,,,,,,,
75,,,,,,,,,
76,,,,,,,,,
77,,,,,,,,,
78,,,,,,,,,
79,,,,,,,,,
80,,,,,,,,,
81,,,,,,,,,
82,,,,,,,,,
83,,,,,,,,,
84,,,,,,,,,
85,,,,,,,,,
86,,,,,,,,,
87,,,,,,,,,
88,,,,,,,,,
89,,,,,,,,,
90,,,,,,,,,
91,,,,,,,,,
92,,,,,,,,,
93,,,,,,,,,
94,,,,,,,,,
95,,,,,,,,,
96,,,,,,,,,
97,,,,,,,,,
98,,,,,,,,,
99,,,,,,,,,
100,,,,,,,,,
101,,,,,,,,,
102,,,,,,,,,
103,,,,,,,,,
104,,,,,,,,,
105,,,,,,,,,
106,,,,,,,,,
107,,,,,,,,,
108,,,,,,,,,
109,,,,,,,,,
110,,,,,,,,,
111,,,,,,,,,
112,,,,,,,,,
113,,,,,,,,,
114,,,,,,,,,
115,,,,,,,,,
116,,,,,,,,,
117,,,,,,,,,
118,,,,,,,,,
119,,,,,,,,,
120,,,,,,,,,
121,,,,,,,,,
122,,,,,,,,,
123,,,,,,,,,
124,,,,,,,,,
125,,,,,,,,,
126,,,,,,,,,
127,,,,,,,,,
128,,,,,,,,,
129,,,,,,,,,
130,,,,,,,,,
131,,,,,,,,,
132,,,,,,,,,
133,,,,,,,,,
134,,,,,,,,,
135,,,,,,,,,
136,,,,,,,,,
137,,,,,,,,,
138,,,,,,,,,
139,,,,,,,,,
140,,,,,,,,,
141,,,,,,,,,
142,,,,,,,,,
143,,,,,,,,,
144,,,,,,,,,
145,,,,,,,,,
146,,,,,,,,,
147,,,,,,,,,
148,,,,,,,,,
149,,,,,,,,,
150,,,,,,,,,
151,,,,,,,,,
152,,,,,,,,,
153,,,,,,,,,
154,,,,,,,,,
155,,,,,,,,,
156,,,,,,,,,
157,,,,,,,,,
158,,,,,,,,,
159,,,,,,,,,
160,,,,,,,,,
161,,,,,,,,,
162,,,,,,,,,
163,,,,,,,,,
164,,,,,,,,,
165,,,,,,,,,
166,,,,,,,,,
167,,,,,,,,,
168,,,,,,,,,
169,,,,,,,,,
170,38.8096324_-77.02283643_38.84042391_-76.9833259,WALKING,38.846368,-76.996311,38.8411046,-76.9837707,2.2,41,Poor transit
171,38.86120821_-76.97986921_38.92801313_-77.05026843,WALKING,38.928711,-77.032454,38.9276399,-77.0496499,2.2,41,Poor transit
172,38.86233921_-76.98643833_38.93848882_-77.09331826,WALKING,38.9480918,-77.0794351,38.938614,-77.093281,1.9,36,Poor transit
173,38.8096324_-77.02283643_38.88550043_-76.95147955,WALKING,38.883853,-76.957245,38.8853453,-76.9512042,1.8,36,Poor transit
174,38.82797649_-77.0066917_38.84241783_-77.02307164,WALKING,38.8277981,-77.0067297,38.8422903,-77.0223528,1.8,37,Poor transit
175,38.88516636_-76.96293208_38.9041102_-77.07111089,WALKING,38.905284,-77.061624,38.9044266,-77.0711039,1.8,36,Poor transit
176,38.8096324_-77.02283643_38.89627629_-77.04292119,WALKING,38.9012579,-77.0404215,38.8959839,-77.0429213,1.7,34,Poor transit
177,38.83010611_-76.99690524_38.87786225_-77.03437325,WALKING,38.8862447,-77.0215838,38.8778287,-77.03442,1.7,34,Poor transit
178,38.8096324_-77.02283643_38.86527694_-76.98731555,WALKING,38.862388,-76.995054,38.8653567,-76.9872923,1.6,31,Poor transit
179,38.8096324_-77.02283643_38.89625783_-77.0146534,WALKING,38.892476,-77.018327,38.8961315,-77.0146544,1.6,31,Poor transit
180,38.83010611_-76.99690524_38.92801313_-77.05026843,WALKING,38.928711,-77.032454,38.9276399,-77.0496499,1.6,30,Poor transit
181,38.86120821_-76.97986921_38.8096324_-77.02283643,WALKING,38.823273,-77.017495,38.8099402,-77.0231724,1.6,30,Poor transit
182,38.86120821_-76.97986921_38.95866356_-77.00377998,WALKING,38.9517231,-77.0021153,38.9587534,-77.0035846,1.6,31,Poor transit
183,38.89758645_-77.04837157_38.87786225_-77.03437325,WALKING,38.8877537,-77.0285297,38.8778287,-77.03442,1.6,33,Poor transit
184,38.8096324_-77.02283643_38.89874923_-77.05467122,WALKING,38.900875,-77.0504492,38.8992002,-77.0542256,1.5,29,Poor transit
185,38.8096324_-77.02283643_38.88535555_-76.98085023,WALKING,38.880874,-76.985397,38.8853515,-76.9808503,1.5,29,Poor transit
186,38.8096324_-77.02283643_38.8875746_-76.97151957,WALKING,38.888738,-76.977149,38.887589,-76.9715401,1.5,28,Poor transit
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
249,38.85980631_-76.98979257_38.93100522_-76.99133987,WALKING,38.933232,-76.994474,38.9310273,-76.9908715,0.7,14,Good transit
250,38.86120821_-76.97986921_38.92926801_-76.97090672,WALKING,38.925398,-76.964677,38.9291567,-76.9709071,0.7,15,Good transit
251,38.86233921_-76.98643833_38.91150838_-77.04595279,WALKING,38.9109443,-77.0446328,38.9115423,-77.0459518,0.7,14,Good transit
252,38.86233921_-76.98643833_38.91194732_-77.00240612,WALKING,38.9096315,-77.0061469,38.9119428,-77.0020191,0.7,14,Good transit
253,38.88516636_-76.96293208_38.90557654_-76.93642387,WALKING,38.902711,-76.936799,38.9056531,-76.9364228,0.7,15,Good transit
254,38.88565997_-76.92609723_38.89755634_-76.94484528,WALKING,38.8980029,-76.9472603,38.8983731,-76.9448421,0.7,14,Good transit
255,38.83061467_-76.99181518_38.89876337_-77.00097333,WALKING,38.897217,-76.994885,38.8989112,-77.0009731,0.6,12,Good transit
256,38.83167957_-76.99563337_38.90065602_-76.97852368,WALKING,38.90124,-76.982501,38.9009523,-76.9787206,0.6,13,Good transit
257,38.83167957_-76.99563337_38.90119687_-76.93658875,WALKING,38.900609,-76.939499,38.9011969,-76.9365812,0.6,13,Good transit
258,38.85980631_-76.98979257_38.93080972_-77.03462047,WALKING,38.928711,-77.032454,38.930919,-77.0345517,0.6,12,Good transit
259,38.86120821_-76.97986921_38.83881445_-77.00305098,WALKING,38.843521,-76.999064,38.8387987,-77.0027682,0.6,13,Good transit
260,38.86120821_-76.97986921_38.9091533_-77.01064917,WALKING,38.9096315,-77.0061469,38.9096364,-77.0106499,0.6,13,Good transit
261,38.86418231_-76.96174845_38.85919458_-76.97222365,WALKING,38.858864,-76.970062,38.859329,-76.9723197,0.6,10,Good transit
262,38.83493209_-76.98921118_38.87527139_-76.95407769,WALKING,38.878339,-76.961209,38.8751172,-76.9541817,0.6,13,Good transit
263,38.83881445_-77.00305098_38.85919458_-76.97222365,WALKING,38.860807,-76.969038,38.859329,-76.9723197,0.6,12,Good transit
264,38.88826998_-76.95647127_38.90452631_-77.01519888,WALKING,38.8882698,-76.9560734,38.889906,-76.947098,0.6,12,Good transit
265,38.89758645_-77.04837157_38.88297987_-77.0033724,WALKING,38.885669,-77.005892,38.8829796,-77.0035196,0.6,13,Good transit
266,38.89758645_-77.04837157_38.88344117_-77.01972757,WALKING,38.8862447,-77.0215838,38.8834396,-77.0199021,0.6,12,Good transit
267,38.83167957_-76.99563337_38.82641682_-76.99597908,WALKING,38.829384,-76.994834,38.8262003,-76.9964929,0.5,10,Good transit
268,38.83167957_-76.99563337_38.84839225_-76.97380687,WALKING,38.847199,-76.972765,38.8481824,-76.9736784,0.5,13,Good transit
269,38.83317015_-77.01192444_38.91266636_-77.00635363,WALKING,38.911085,-77.009498,38.9125937,-77.0063539,0.5,10,Good transit
270,38.83493209_-76.98921118_38.87186307_-76.98231638,WALKING,38.867542,-76.98217,38.8720522,-76.9824754,0.5,9,Good transit
271,38.86233921_-76.98643833_38.91266636_-77.00635363,WALKING,38.911085,-77.009498,38.9125937,-77.0063539,0.5,11,Good transit
272,38.87316374_-76.94390024_38.88353148_-76.9379037,WALKING,38.883705,-76.934682,38.8831902,-76.9378336,0.5,11,Good transit
273,38.88178722_-76.98111151_38.87935377_-77.00423232,WALKING,38.878388,-77.00587,38.8792886,-77.0042327,0.5,8,Good transit
274,38.82797649_-77.0066917_38.85157227_-76.99759371,WALKING,38.852937,-76.995796,38.8516649,-76.9971456,0.4,9,Good transit
275,38.83317015_-77.01192444_38.89612766_-76.99667972,WALKING,38.895934,-76.994861,38.8961199,-76.9966797,0.4,7,Good transit
276,38.83493209_-76.98921118_38.87019046_-76.96950049,WALKING,38.872557,-76.972373,38.8702522,-76.9700079,0.4,9,Good transit
277,38.83881445_-77.00305098_38.85157227_-76.99759371,WALKING,38.852937,-76.995796,38.8516649,-76.9971456,0.4,8,Good transit
278,38.85980631_-76.98979257_38.89221821_-76.94955368,WALKING,38.891945,-76.951469,38.8918959,-76.949553,0.4,8,Good transit
279,38.85980631_-76.98979257_38.89612766_-76.99667972,WALKING,38.895934,-76.994861,38.8961199,-76.9966797,0.4,8,Good transit
280,38.8705573_-76.97280455_38.89526734_-76.92957873,WALKING,38.898255,-76.929408,38.8952725,-76.9295597,0.4,9,Good transit
281,38.83061467_-76.99181518_38.84839225_-76.97380687,WALKING,38.847199,-76.972765,38.8481824,-76.9736784,0.3,8,Good transit
282,38.83061467_-76.99181518_38.897956_-76.99329252,WALKING,38.897217,-76.994885,38.8979565,-76.9937599,0.3,6,Good transit
283,38.83479611_-77.00524572_38.82641682_-76.99597908,WALKING,38.826249,-76.998487,38.8262003,-76.9964929,0.3,7,Good transit
284,38.83493209_-76.98921118_38.87024_-76.98057392,WALKING,38.86814,-76.981289,38.8702401,-76.9807787,0.3,5,Good transit
285,38.83910769_-76.99690024_38.83996392_-77.00067029,WALKING,38.841937,-77.000385,38.8399637,-77.0005748,0.3,7,Good transit
286,38.86233921_-76.98643833_38.89526734_-76.92957873,WALKING,38.898255,-76.929408,38.8952725,-76.9295597,0.3,9,Good transit
287,38.88178722_-76.98111151_38.88023959_-76.98728308,WALKING,38.879909,-76.983767,38.8798892,-76.9871887,0.3,7,Good transit
288,38.88565997_-76.92609723_38.89799732_-76.93258123,WALKING,38.896104,-76.929757,38.8982577,-76.932701,0.3,6,Good transit
289,38.83343321_-77.00392458_38.88023959_-76.98728308,WALKING,38.880874,-76.985397,38.8798892,-76.9871887,0.2,6,Good transit
290,38.83881445_-77.00305098_38.84186464_-77.00192877,WALKING,38.8387987,-77.0027682,38.8416499,-77.0016675,0.2,5,Good transit
291,38.86233921_-76.98643833_38.89165586_-76.98505731,WALKING,38.891829,-76.983593,38.8914615,-76.985055,0.2,5,Good transit
292,38.86233921_-76.98643833_38.89221821_-76.94955368,WALKING,38.891945,-76.951469,38.8918959,-76.949553,0.2,5,Good transit